"Pig","Trt","Room","Pen","Day","Dry matter, %","dm_prop","dry_matter_perc"
"13-16","E","1","2","5",24.046650565654,0.24046650565654,24.046650565654
"24-1","E","1","2","5",25.7652786067147,0.257652786067147,25.7652786067147
"14-12","E","1","2","5",13.3163544574073,0.133163544574073,13.3163544574073
"20-11","D","1","3","5",25.5540775144861,0.255540775144861,25.5540775144861
"12-6","D","1","3","5",28.6255950404074,0.286255950404074,28.6255950404074
"28-14","D","1","3","5",28.1600368606973,0.281600368606973,28.1600368606973
"17-12","A","1","4","5",16.8493479478358,0.168493479478358,16.8493479478358
"6-9","A","1","4","5",25.647585545251,0.25647585545251,25.647585545251
"26-15","A","1","4","5",25.7718504524212,0.257718504524212,25.7718504524212
"21-11","B","1","5","5",25.4522115847462,0.254522115847462,25.4522115847462
"26-7","B","1","5","5",21.54699475595,0.2154699475595,21.54699475595
"12-13","B","1","5","5",19.8300283286119,0.198300283286119,19.8300283286119
"5-11","E","1","6","5",24.5101698078,0.245101698078,24.5101698078
"19-3","E","1","6","5",20.1064046283106,0.201064046283106,20.1064046283106
"2-14","E","1","6","5",19.8158595257284,0.198158595257284,19.8158595257284
"29-14","C","1","7","5",20.2729987801287,0.202729987801287,20.2729987801287
"19-12","C","1","7","5",31.6693486321976,0.316693486321976,31.6693486321976
"8-7","C","1","7","5",19.3775960967891,0.193775960967891,19.3775960967891
"30-9","F","1","8","5",9.94371482176359,0.0994371482176359,9.94371482176359
"26-2","F","1","8","5",25.2231393866183,0.252231393866183,25.2231393866183
"16-15","F","1","8","5",10.8854629904141,0.108854629904141,10.8854629904141
"29-13","B","1","10","5",19.7824978759558,0.197824978759558,19.7824978759558
"27-2","B","1","10","5",21.9643585114437,0.219643585114437,21.9643585114437
"9-7","B","1","10","5",19.8666573744976,0.198666573744976,19.8666573744976
"29-15","A","1","11","5",20.9988160585513,0.209988160585513,20.9988160585513
"6-8","A","1","11","5",17.0597035223718,0.170597035223718,17.0597035223718
"14-14","A","1","11","5",19.3838870404397,0.193838870404397,19.3838870404397
"8-14","F","1","12","5",26.4894743031871,0.264894743031871,26.4894743031871
"25-6","F","1","12","5",13.2177773982837,0.132177773982837,13.2177773982837
"3-8","F","1","12","5",34.1157834101382,0.341157834101383,34.1157834101382
"13-13","C","1","13","5",29.0923894412067,0.290923894412067,29.0923894412067
"25-3","C","1","13","5",23.1926813278503,0.231926813278503,23.1926813278503
"3-7","C","1","13","5",15.9931341845338,0.159931341845338,15.9931341845338
"23-16","E","1","14","5",30.2198810919207,0.302198810919207,30.2198810919207
"19-8","E","1","14","5",29.8884519972324,0.298884519972324,29.8884519972324
"9-12","E","1","14","5",18.0027754804525,0.180027754804525,18.0027754804525
"23-13","D","1","15","5",24.2828626985356,0.242828626985356,24.2828626985356
"3-5","D","1","15","5",25.8261583149887,0.258261583149887,25.8261583149887
"6-17","D","1","15","5",28.0890862332235,0.280890862332235,28.0890862332235
"11-12","A","1","16","5",16.8915478615071,0.168915478615071,16.8915478615071
"27-3","A","1","16","5",8.62472073569907,0.0862472073569907,8.62472073569907
"16-13","A","1","16","5",15.9709806969815,0.159709806969815,15.9709806969815
"12-12","F","1","17","5",23.5324746505892,0.235324746505892,23.5324746505892
"28-8","F","1","17","5",16.5393808663208,0.165393808663208,16.5393808663208
"16-12","F","1","17","5",17.9410518972519,0.179410518972519,17.9410518972519
"3-12","B","1","19","5",26.4659463396868,0.264659463396868,26.4659463396868
"17-1","B","1","19","5",25.5438160348042,0.255438160348042,25.5438160348042
"4-15","B","1","19","5",25.1185473837414,0.251185473837414,25.1185473837414
"23-14","E","1","20","5",17.2544814255832,0.172544814255832,17.2544814255832
"14-1","E","1","20","5",33.0392760263512,0.330392760263512,33.0392760263512
"16-11","E","1","20","5",8.83846187806278,0.0883846187806278,8.83846187806278
"15-15","C","1","21","5",25.7516544213433,0.257516544213433,25.7516544213433
"11-6","C","1","21","5",30.7728563967338,0.307728563967338,30.7728563967338
"24-8","C","1","21","5",20.6345208444109,0.206345208444109,20.6345208444109
"25-11","F","1","22","5",22.7850969808716,0.227850969808716,22.7850969808716
"18-10","F","1","22","5",35.9541112826499,0.359541112826499,35.9541112826499
"3-13","F","1","22","5",29.3819364714887,0.293819364714887,29.3819364714887
"8-11","A","1","23","5",24.5598342905564,0.245598342905564,24.5598342905564
"15-11","A","1","23","5",18.9616640880179,0.189616640880179,18.9616640880179
"21-6","A","1","23","5",28.6243565812546,0.286243565812546,28.6243565812546
"20-12","D","1","24","5",26.2590663938999,0.262590663938999,26.2590663938999
"15-8","D","1","24","5",26.4733344318119,0.264733344318119,26.4733344318119
"1-6","D","1","24","5",28.541818935518,0.28541818935518,28.541818935518
"4-16","C","1","26","5",27.5411299579135,0.275411299579135,27.5411299579135
"16-3","C","1","26","5",24.1033358414848,0.241033358414848,24.1033358414848
"15-17","C","1","26","5",28.9021434743907,0.289021434743907,28.9021434743907
"5-12","A","1","27","5",25.4288765769975,0.254288765769975,25.4288765769975
"9-1","A","1","27","5",27.4090562943003,0.274090562943003,27.4090562943003
"24-5","A","1","27","5",30.4135301593509,0.304135301593509,30.4135301593509
"11-10","B","1","28","5",23.1332905434318,0.231332905434318,23.1332905434318
"29-8","B","1","28","5",21.0767149450899,0.210767149450899,21.0767149450899
"26-12","B","1","28","5",26.7566612132821,0.267566612132821,26.7566612132821
"29-12","D","1","29","5",25.898540229447,0.25898540229447,25.898540229447
"25-1","D","1","29","5",4.96410353296807,0.0496410353296807,4.96410353296807
"12-11","D","1","29","5",24.7189059048376,0.247189059048376,24.7189059048376
"29-9","C","1","30","5",25.887359909207,0.25887359909207,25.887359909207
